,movie_title,genres,runtime_minutes,director_name,director_deathYear
0,Avatar: The Way of Water,"Action,Adventure,Fantasy",192.0,James Cameron,2
1,Avengers: Endgame,"Action,Adventure,Drama",181.0,-,0
2,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",137.0,Rob Marshall,2
3,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",141.0,Joss Whedon,2
4,Avengers: Infinity War,"Action,Adventure,Sci-Fi",149.0,-,0
5,Justice League,"Action,Adventure,Fantasy",120.0,Zack Snyder,2
6,Spectre,"Action,Adventure,Thriller",148.0,Sam Mendes,2
7,Solo: A Star Wars Story,"Action,Adventure,Sci-Fi",135.0,Ron Howard,2
8,John Carter,"Action,Adventure,Sci-Fi",132.0,Andrew Stanton,2
9,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",151.0,Zack Snyder,2
10,The Lion King,"Adventure,Animation,Drama",118.0,Jon Favreau,2
11,Tangled,"Adventure,Animation,Comedy",100.0,-,0
12,Spider-Man 3,"Action,Adventure,Sci-Fi",139.0,Sam Raimi,2
13,Captain America: Civil War,"Action,Sci-Fi",147.0,-,0
14,Thor: Love and Thunder,"Action,Adventure,Comedy",118.0,Taika Waititi,2
15,Harry Potter and the Half-Blood Prince,"Action,Adventure,Family",153.0,David Yates,2
16,The Hobbit: The Desolation of Smaug,Fantasy,161.0,Peter Jackson,2
17,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",144.0,Peter Jackson,2
18,The Fate of the Furious,"Action,Crime,Thriller",136.0,F. Gary Gray,2
19,No Time to Die,"Action,Adventure,Thriller",163.0,Cary Joji Fukunaga,2
20,Avatar,"Action,Adventure,Fantasy",162.0,James Cameron,2
21,Superman Returns,"Action,Adventure,Sci-Fi",154.0,Bryan Singer,2
22,The Dark Knight Rises,"Action,Drama",164.0,Christopher Nolan,2
23,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy",129.0,-,0
24,Quantum of Solace,"Action,Adventure,Mystery",106.0,Marc Forster,2
25,The Avengers,"Action,Sci-Fi",143.0,Joss Whedon,2
26,Man of Steel,"Action,Adventure,Sci-Fi",143.0,Zack Snyder,2
27,The Chronicles of Narnia: Prince Caspian,"Action,Adventure,Family",150.0,Andrew Adamson,2
28,The Lone Ranger,"Action,Adventure,Western",150.0,Gore Verbinski,2
29,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",136.0,Marc Webb,2
30,Battleship,"Action,Adventure,Sci-Fi",131.0,Peter Berg,2
31,Transformers: The Last Knight,"Action,Adventure,Sci-Fi",154.0,Michael Bay,2
32,Jurassic World,"Action,Adventure,Sci-Fi",124.0,Colin Trevorrow,2
33,Men in Black 3,"Action,Adventure,Comedy",106.0,Barry Sonnenfeld,2
34,Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",149.0,Michael Bay,2
35,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",165.0,Michael Bay,2
36,X-Men: The Last Stand,"Action,Adventure,Sci-Fi",104.0,Brett Ratner,2
37,Robin Hood,"Action,Adventure,Drama",140.0,Ridley Scott,2
38,King Kong,"Action,Adventure,Drama",187.0,Peter Jackson,2
39,The Golden Compass,"Adventure,Family,Fantasy",113.0,Chris Weitz,2
40,Tenet,"Action,Sci-Fi,Thriller",150.0,Christopher Nolan,2
41,Spider-Man: No Way Home,"Action,Adventure,Fantasy",148.0,Jon Watts,2
42,Black Panther,"Action,Adventure,Sci-Fi",134.0,Ryan Coogler,2
43,Titanic,"Drama,Romance",194.0,James Cameron,2
44,Incredibles 2,"Action,Adventure,Animation",118.0,Brad Bird,2
45,Rogue One: A Star Wars Story,"Action,Adventure,Sci-Fi",133.0,Gareth Edwards,2
46,Finding Dory,"Adventure,Animation,Comedy",97.0,-,0
47,Toy Story 4,"Adventure,Animation,Comedy",100.0,Josh Cooley,2
